Organización Política,Año,Candidato
GANA PERU,2011,Ollanta Humala
FUERZA 2011,2011,Keiko Fujimori
ALIANZA POR EL GRAN CAMBIO,2011,Pedro Pablo Kuczynski
PERÚ POSIBLE,2011,Alejandro Toledo
ALIANZA SOLIDARIDAD NACIONAL,2011,Luis Castañeda Lossio
FONAVISTAS DEL PERU,2011,José Ñique de la Puente
DESPERTAR NACIONAL,2011,Ricardo Noriega Salaverry
PARTIDO POLITICO ADELANTE,2011,Rafael Belaúnde Aubry
FUERZA NACIONAL,2011,Juliana Reymer
"JUSTICIA, TECNOLOGIA, ECOLOGIA",2011,Humberto Pinazo
PARTIDO DESCENTRALISTA FUERZA SOCIAL,2011,Manuel Rodríguez Cuadros
FUERZA POPULAR,2016,Keiko Fujimori
PERUANOS POR EL KAMBIO,2016,Pedro Pablo Kuczynski
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2016,Verónika Mendoza
ACCION POPULAR,2016,Alfredo Barnechea
ALIANZA POPULAR,2016,Alan García
DEMOCRACIA DIRECTA,2016,Gregorio Santos
FRENTE ESPERANZA,2016,Fernando Olivera
PERU POSIBLE,2016,Alejandro Toledo
PROGRESANDO PERU,2016,Miguel Hilario
PARTIDO POLITICO ORDEN,2016,Ántero Flores-Aráoz
PARTIDO POLITICO NACIONAL PERU LIBRE,2021,Pedro Castillo
FUERZA POPULAR,2021,Keiko Fujimori
RENOVACION POPULAR,2021,Rafael López Aliaga
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2021,Hernando de Soto
ACCION POPULAR,2021,Yonhy Lescano
JUNTOS POR EL PERU,2021,Verónika Mendoza
ALIANZA PARA EL PROGRESO,2021,César Acuña
VICTORIA NACIONAL,2021,George Forsyth
PODEMOS PERU,2021,Daniel Urresti
PARTIDO MORADO,2021,Julio Guzmán
PARTIDO POPULAR CRISTIANO - PPC,2021,Alberto Beingolea
PARTIDO DEMOCRATICO SOMOS PERU,2021,Daniel Salaverry
PARTIDO NACIONALISTA PERUANO,2021,Ollanta Humala
UNION POR EL PERU,2021,José Vega
RENACIMIENTO UNIDO NACIONAL,2021,Ciro Gálvez
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2021,Marco Arana
PERU PATRIA SEGURA,2021,Rafael Santos
DEMOCRACIA DIRECTA,2021,Andrés Alcántara